,kepoi_name,koi_prad,koi_insol,koi_score,size_category
648,K01165.01,2.36,117.33,1.0,super-earth-like
646,K01163.02,2.0,132.46,1.0,super-earth-like
645,K01102.01,4.12,165.3,1.0,neptune-like
644,K01101.01,1.67,34.55,1.0,super-earth-like
642,K01099.01,8.19,4.25,1.0,Gas-Giant
630,K00956.01,3.67,53.68,1.0,neptune-like
629,K00955.01,2.45,288.92,1.0,super-earth-like
628,K01163.01,1.92,505.22,1.0,super-earth-like
686,K00162.01,3.11,100.09,1.0,neptune-like
683,K01306.01,1.2,827.82,1.0,earth-like
681,K01305.01,1.38,387.43,1.0,earth-like
679,K01241.01,11.64,330.0,1.0,Gas-Giant
678,K01240.02,2.96,330.84,1.0,super-earth-like
677,K01240.01,1.76,974.3,1.0,super-earth-like
672,K01428.01,1.79,813.3,1.0,super-earth-like
665,K01360.02,2.32,29.53,1.0,super-earth-like
3572,K00671.01,1.83,854.59,1.0,super-earth-like
3571,K00670.01,2.16,173.79,1.0,super-earth-like
3568,K00618.01,2.94,109.61,1.0,super-earth-like
3565,K00719.01,1.8,27.87,1.0,super-earth-like
3563,K00718.02,4.01,81.57,1.0,neptune-like
3562,K00718.01,3.29,688.54,1.0,neptune-like
3561,K00717.02,0.82,4399.18,1.0,earth-like
3559,K00104.01,3.25,234.06,1.0,neptune-like
3555,K00666.01,2.72,32.58,1.0,super-earth-like
3554,K00665.03,1.65,1389.97,1.0,super-earth-like
3552,K00614.01,11.26,173.5,1.0,Gas-Giant
3549,K00612.01,2.11,19.47,1.0,super-earth-like
706,K01364.03,2.11,49.87,1.0,super-earth-like
705,K01308.01,3.0,66.96,1.0,super-earth-like
703,K01307.02,2.88,46.93,1.0,super-earth-like
700,K01245.01,1.98,131.94,1.0,super-earth-like
698,K00155.01,3.24,365.53,1.0,neptune-like
695,K01432.01,2.68,189.35,1.0,super-earth-like
692,K01430.02,2.08,7.09,1.0,super-earth-like
691,K01430.01,2.11,20.15,1.0,super-earth-like
690,K01364.02,2.13,100.88,1.0,super-earth-like
689,K01364.01,2.26,23.82,1.0,super-earth-like
687,K01363.01,2.18,510.26,1.0,super-earth-like
730,K01367.01,1.55,2760.23,1.0,super-earth-like
729,K00163.01,2.08,42.07,1.0,super-earth-like
727,K01366.02,3.88,11.12,1.0,neptune-like
725,K01312.01,2.04,433.72,1.0,super-earth-like
723,K01310.01,4.23,105.25,1.0,neptune-like
722,K01309.01,3.07,433.41,1.0,neptune-like
714,K01433.01,2.08,35.89,1.0,super-earth-like
710,K01366.01,3.04,44.17,1.0,neptune-like
708,K01364.05,1.31,386.18,1.0,earth-like
3548,K00717.01,2.04,106.22,1.0,super-earth-like
3544,K00714.01,2.46,213.29,1.0,super-earth-like
3543,K00110.01,2.87,233.04,1.0,super-earth-like
3542,K00665.02,1.72,3267.98,1.0,super-earth-like
3541,K00665.01,3.6,584.32,1.0,neptune-like
3540,K00664.03,1.29,50.72,1.0,earth-like
3537,K00664.01,1.85,109.68,1.0,super-earth-like
3533,K00610.01,1.82,9.38,1.0,super-earth-like
3520,K00662.01,2.29,198.34,1.0,super-earth-like
767,K01320.01,9.01,47.21,1.0,Gas-Giant
762,K01258.02,2.22,54.95,1.0,super-earth-like
758,K01439.01,7.79,2.65,1.0,Gas-Giant
757,K01438.01,1.9,328.65,1.0,super-earth-like
747,K00157.06,1.84,122.98,1.0,super-earth-like
